freelancer_id,age,gender,country,years_experience,num_skills,profile_completeness,has_portfolio,has_video_profile,has_certifications,primary_skill,hourly_rate_usd,total_jobs_completed,job_success_rate,repeat_client_rate,avg_response_time_hrs,total_earnings_12m_usd,success_score,churn_risk,earnings_tier
FL_002663,27,Male,India,0.8,6,94.3,0,1,0,Web Development,55.55,18,94.6,0.474,14,10063,74.3,0,Low
FL_002664,45,Male,Brazil,0.4,4,66.9,1,0,1,Video Editing,280,21,80.8,0.272,14.8,78504,73.3,0,High
FL_002665,40,Female,Other,1.1,4,78.1,1,0,0,Web Development,,21,93.9,0.314,13.6,245000,89.5,0,High
FL_002666,22,Female,Nigeria,0.5,14,65.6,1,0,1,Graphic Design,231.14,19,62.8,0.323,19.1,75692,62.7,0,High
FL_002667,27,Female,Nigeria,1.6,14,84.7,1,0,1,Data Science & Analytics,280,30,82.6,0.369,14.3,39093,84.7,0,High
FL_002668,26,Female,United States,10.5,8,100,0,0,1,Content Writing / Copywriting,280,40,83.2,0.182,11.2,240366,96.6,0,High
FL_002669,37,Female,United Kingdom,0.5,6,97.7,1,0,1,Data Science & Analytics,228.58,22,,0.348,17.2,95876,89,0,High
FL_002670,47,Male,Other,6.5,14,84.8,1,1,0,Graphic Design,280,32,91.2,0.32,,85380,83.9,0,High
FL_002671,45,Male,India,2.9,7,76.8,1,0,1,Graphic Design,280,26,73.9,,14.5,77728,74.8,0,High
FL_002672,45,Female,Germany,3.8,9,78.7,1,0,0,AI & Machine Learning,280,31,75.5,0.174,,67336,76,0,High
FL_002673,48,Female,Nigeria,0.7,5,100,1,1,0,Web Development,280,21,82.9,,18.9,245000,92.5,0,High
FL_002674,22,Female,India,0.6,10,65.5,1,1,0,Data Science & Analytics,280,24,85.8,0.323,14.3,165152,82.2,0,High
FL_002675,23,Male,India,0.7,8,86.5,1,1,0,Video Editing,280,23,76.2,0.299,13.9,45912,68.3,0,High
FL_002676,25,Male,United Kingdom,4.2,11,97,1,0,0,Content Writing / Copywriting,112.78,25,93.6,0.251,18.9,86244,80.8,0,High
FL_002677,25,Female,United States,5.2,7,78.9,1,0,0,AI & Machine Learning,280,36,100,0.354,13.9,245000,95.5,0,High
FL_002678,51,Male,Other,9.6,15,93.8,0,0,0,Video Editing,280,39,85.8,0.384,35.3,245000,99,0,High
FL_002679,21,Male,Brazil,1.9,11,100,1,0,1,Data Science & Analytics,280,31,86.3,0.368,7.9,164302,90.8,0,High
FL_002680,28,Female,India,2.4,7,77.5,1,0,0,Mobile App Development,280,23,,0.513,13.6,59917,92.1,0,High
FL_002681,32,Female,India,2.4,14,74.9,0,1,1,Video Editing,171.53,28,,0.45,5.4,239706,93.1,0,High
FL_002682,44,Male,Ukraine,1.2,8,82.5,1,0,0,Digital Marketing,280,25,86.9,0.402,6.7,138768,85.5,0,High
FL_002683,24,Female,United Kingdom,1.5,6,86.8,0,0,0,Data Science & Analytics,280,30,,0.279,18.1,70138,85.1,0,High
FL_002684,33,Female,India,7.1,14,100,1,0,0,Mobile App Development,280,39,67,0.448,10.6,245000,90.5,0,High
FL_002685,43,Female,United Kingdom,1.6,7,99.1,1,1,1,Content Writing / Copywriting,196.4,32,94.3,0.296,13.2,102665,92.9,0,High
FL_002686,35,Female,Other,7.7,12,84.3,1,0,1,Digital Marketing,276.85,32,100,0.353,,245000,99,0,High
FL_002687,51,Male,United States,1.4,8,47.5,1,0,0,Mobile App Development,207.42,26,75.9,0.334,,140031,73.8,0,High
FL_002688,31,Male,India,1.6,7,55.8,1,0,0,Mobile App Development,164.04,24,61.8,0.28,14.9,80316,77.9,0,High
FL_002689,30,Male,Other,3.1,7,94.5,1,0,1,Data Science & Analytics,150.81,27,78.8,0.349,29.6,21286,69.9,0,Medium
FL_002690,23,Male,United States,0.4,10,68.9,1,0,0,Digital Marketing,280,18,85.7,0.322,11.9,146537,67.9,0,High
FL_002691,42,Male,Other,9.7,5,95.7,1,0,0,Video Editing,186.9,38,83.5,0.563,6,89722,99,0,High
FL_002692,34,Male,India,6.5,7,92.2,1,0,1,Mobile App Development,,28,,0.4,11.2,245000,99,0,High
FL_002693,36,Male,India,4.2,6,76,0,0,0,Content Writing / Copywriting,280,31,86.4,0.264,9.6,84923,81.9,0,High
FL_002694,30,Male,United States,16.8,10,65.8,1,0,0,Virtual Assistant,280,57,80.7,0.15,7.1,245000,99,0,High
FL_002695,49,Male,United States,0.1,7,76.3,0,0,1,Data Science & Analytics,,34,79.3,0.404,15.7,81570,71.8,0,High
FL_002696,30,Female,United States,2,11,82.2,1,1,1,AI & Machine Learning,280,19,93.9,0.433,16.3,59691,92.5,0,High
FL_002697,32,Male,United States,7.4,8,56.9,1,0,0,Digital Marketing,280,32,75,,5.8,234922,85.1,0,High
FL_002698,50,Female,India,2.2,12,93.9,0,0,0,Video Editing,280,25,72.2,0.268,,30587,68.1,0,Medium
FL_002699,29,Male,United States,0,12,90.2,1,0,1,Web Development,197.65,20,98.5,0.208,33.3,60879,72.4,0,High
FL_002700,21,Male,Ukraine,0.7,6,82,1,0,1,Data Science & Analytics,193.38,27,94.7,0.326,13,69348,82.7,0,High
FL_002701,25,Female,Canada,2.2,12,82.1,1,0,1,Web Development,63.56,23,,,14.6,16961,80,0,Medium
FL_002702,40,Male,Other,4.2,7,100,1,0,1,Digital Marketing,280,39,93.8,0.415,13.2,218755,99,0,High
FL_002703,28,Male,Philippines,0.7,12,67.3,0,0,1,Accounting & Finance,108.4,23,86.2,0.218,12,48529,69.4,0,High
FL_002704,31,Male,Other,2.3,15,73.3,0,1,1,Mobile App Development,226.45,32,100,0.421,24.1,89229,89.3,0,High
FL_002705,32,Male,United States,0,5,80,1,1,1,Mobile App Development,280,34,84.1,0.256,12.4,111129,79.6,0,High
FL_002706,21,Male,United States,2.5,8,69.7,1,1,1,Content Writing / Copywriting,,21,100,0.493,8.3,88600,72.6,0,High
FL_002707,45,Male,India,8.6,9,77,1,1,0,Graphic Design,280,38,89.5,0.331,11.5,73222,96.5,0,High
FL_002708,42,Male,Germany,3.5,6,53.8,1,1,0,Digital Marketing,194.11,30,77,0.271,7.2,245000,77.7,0,High
FL_002709,40,Female,Other,2.2,5,72.9,1,1,0,Mobile App Development,280,26,82.7,0.297,4.8,32087,63.2,1,Medium
FL_002710,48,Female,Pakistan,0.7,4,77.1,1,0,1,Web Development,280,23,82.8,0.14,16.2,155835,76,1,High
FL_002711,45,Male,India,0.9,14,67,1,0,0,Mobile App Development,183.51,27,84.6,0.272,27.8,44800,72.9,0,High
FL_002712,31,Male,Nigeria,0.3,10,99.7,0,0,1,Graphic Design,,19,84.6,0.378,18,214196,77.2,1,High
FL_002713,25,Male,India,5.2,7,86,1,1,0,AI & Machine Learning,,33,79.8,0.299,16.6,67898,89.7,0,High
FL_002714,35,Male,United Kingdom,0.3,11,77.2,0,0,1,Video Editing,202.88,26,86.3,0.348,14.2,245000,85.7,0,High
FL_002715,25,Male,Philippines,1.8,11,69.4,1,0,0,Graphic Design,280,23,96.6,0.448,8.3,54430,81,0,High
FL_002716,32,Female,United States,5.3,11,54.4,1,0,1,Web Development,280,26,,0.34,19.2,63479,75.2,0,High
FL_002717,25,Male,United States,4.7,5,68.1,1,1,0,Web Development,280,29,,0.534,20.9,78966,87.2,0,High
FL_002718,37,Female,Brazil,3.3,8,80.1,1,1,1,AI & Machine Learning,,34,100,0.345,12.9,19720,80.2,0,Medium
FL_002719,37,Male,Philippines,3.2,11,77.9,1,0,1,Digital Marketing,,32,100,0.401,20,245000,86.3,0,High
FL_002720,44,Female,India,0.4,13,67,0,0,1,Virtual Assistant,196.99,16,84.3,0.352,20.6,39021,71.5,0,High
FL_002721,32,Female,United Kingdom,0.7,5,100,0,1,0,Web Development,269.81,18,96.7,0.404,16.4,93689,88.5,0,High
FL_002722,44,Female,Other,2.9,5,96.5,0,0,1,Video Editing,280,24,91.1,,20,44042,82.9,0,High
FL_002723,48,Male,India,1.6,4,72,1,0,0,Digital Marketing,280,24,85.7,0.405,19.5,181034,78.5,0,High
FL_002724,35,Female,United States,0.1,9,88.4,1,1,0,AI & Machine Learning,280,33,,0.394,,161000,73.6,1,High
FL_002725,35,Female,United Kingdom,6.1,8,99.7,0,0,1,Graphic Design,169.44,34,,0.271,13.6,93110,98.4,1,High
FL_002726,26,Female,Nigeria,4,4,84.6,1,0,0,Content Writing / Copywriting,280,33,80.8,0.372,7.7,63362,79,0,High
FL_002727,32,Male,United States,1.5,14,76.3,1,0,0,AI & Machine Learning,280,25,,0.462,15.6,245000,94,0,High
FL_002728,47,Female,India,0.4,11,50,1,0,0,Virtual Assistant,181.97,28,96.5,0.327,10.1,245000,71.7,0,High
FL_002729,49,Male,United Kingdom,3.4,11,77.9,1,1,1,Digital Marketing,210.75,30,99.8,0.36,11.8,204973,73.4,0,High
FL_002730,40,Female,United Kingdom,1.6,8,66.9,1,0,0,Mobile App Development,280,21,93.1,0.398,8.8,140091,95.6,0,High
FL_002731,38,Female,India,1.1,14,69.5,0,0,0,Digital Marketing,184.3,27,88.6,0.26,15.6,130725,71.3,0,High
FL_002732,34,Male,Nigeria,4.9,6,73.9,1,0,0,Content Writing / Copywriting,280,31,,0.472,14.9,245000,87.1,0,High
FL_002733,22,Male,Other,1.5,11,75.5,1,0,0,Digital Marketing,280,27,100,0.343,12.8,72809,72.1,0,High
FL_002734,29,Male,Other,0.6,6,73,0,0,0,Digital Marketing,280,28,96.9,0.154,8.5,29026,64.8,0,Medium
FL_002735,51,Female,Nigeria,2.5,7,57.7,0,0,0,Web Development,280,36,89.8,0.271,13,245000,76.2,0,High
FL_002736,25,Male,Philippines,6.7,14,51,1,0,0,Data Science & Analytics,199.23,31,68.4,0.283,15.9,17805,74.8,0,Medium
FL_002737,40,Male,Canada,7.2,10,92.2,1,1,0,AI & Machine Learning,270.44,40,68.1,,12.5,115477,93.7,0,High
FL_002738,46,Male,Canada,7.2,10,100,0,1,0,Web Development,280,33,88.1,0.456,9.6,220713,95.2,0,High
FL_002739,49,Female,Canada,2.1,7,80.7,0,0,0,Graphic Design,280,25,76.8,0.409,15.5,147280,74.8,0,High
FL_002740,21,Male,United States,5.9,12,61.5,1,0,0,Mobile App Development,280,39,64.6,,22.5,103841,80.8,0,High
FL_002741,43,Female,United States,7.2,9,94.8,1,0,1,AI & Machine Learning,280,37,76.4,0.397,18.1,245000,93.7,0,High
FL_002742,23,Male,Other,2.3,11,100,1,0,1,Digital Marketing,280,25,87.6,,16.1,144722,98.1,0,High
FL_002743,26,Female,Other,1.5,10,98.4,1,1,0,Data Science & Analytics,280,24,81.6,,11.9,69915,75.6,0,High
FL_002744,25,Female,Pakistan,4.6,7,100,1,1,0,Content Writing / Copywriting,239.45,27,85.8,0.372,14.6,137714,82.1,1,High
FL_002745,41,Male,Other,8.9,15,60.3,0,0,0,Video Editing,280,43,85,0.432,10.7,72206,99,0,High
FL_002746,47,Male,Brazil,13.6,5,70,1,0,0,Mobile App Development,280,47,100,0.271,9.2,245000,99,0,High
FL_002747,25,Female,Philippines,1.3,14,98.3,0,0,1,AI & Machine Learning,280,28,91.2,0.406,5.3,220084,70.2,1,High
FL_002748,21,Male,India,11.9,5,59.7,0,1,0,Mobile App Development,280,48,100,0.305,19.2,128832,99,0,High
FL_002749,37,Male,Pakistan,2.6,11,70.1,0,1,0,Digital Marketing,280,25,75.6,0.227,16.2,109227,70.1,1,High
FL_002750,39,Female,Philippines,1.4,11,82,0,0,1,Web Development,280,27,91.7,0.534,19.8,157178,92.3,0,High
FL_002751,34,Other,Other,16.9,15,87.6,1,1,1,Content Writing / Copywriting,280,68,100,0.315,,245000,99,0,High
FL_002752,32,Male,Philippines,8,4,74.6,1,0,1,Web Development,280,35,82.6,0.391,11.5,245000,98.3,0,High
FL_002753,30,Male,Canada,4.5,4,79.2,0,0,0,Accounting & Finance,187.91,32,85.1,0.257,5.6,111246,99,0,High
FL_002754,40,Male,Germany,8.6,7,81.6,1,0,1,Video Editing,280,37,84.6,0.435,14.2,54494,97.8,0,High
FL_002755,41,Male,United States,4.3,4,75.4,1,0,1,Accounting & Finance,280,34,77.4,0.201,18.6,83937,70.1,0,High
FL_002756,38,Female,United States,2.2,13,71,0,1,0,Web Development,280,33,89,0.318,20.1,223333,92.1,0,High
FL_002757,44,Female,Nigeria,11.2,4,77.1,1,0,0,Mobile App Development,165.31,48,70.9,0.285,12.4,245000,99,0,High
FL_002758,47,Female,India,12.6,13,70.3,1,0,1,Accounting & Finance,230.36,49,70.8,0.263,18.1,201877,84.3,0,High
FL_002759,31,Male,Nigeria,1.4,14,93.3,0,0,0,SEO / SEM,280,21,85.8,0.272,16.4,56529,63.9,1,High
FL_002760,50,Male,United States,1.7,8,83.9,1,0,0,AI & Machine Learning,192.54,23,97.9,0.251,13.5,34282,77.1,0,Medium
FL_002761,22,Male,United Kingdom,1.8,4,77.8,1,1,0,Digital Marketing,280,27,96.7,0.212,21.7,84095,91.8,0,High
FL_002762,45,Male,United States,6.6,13,75.2,0,1,0,Mobile App Development,193.48,38,74.1,0.324,16.9,26449,70.8,0,Medium
FL_002763,38,Female,India,6,15,95.7,1,0,0,Virtual Assistant,229.56,38,69.9,0.331,6.3,245000,86.5,0,High
FL_002764,49,Male,United States,15.5,9,73.1,1,0,0,Web Development,280,47,100,0.309,5.7,245000,99,0,High
FL_002765,45,Female,Other,2.4,7,90.6,1,1,1,Graphic Design,280,30,,0.327,20.7,222649,82.4,0,High
FL_002766,27,Female,United Kingdom,5.1,13,98,1,1,1,AI & Machine Learning,280,33,69.1,0.203,17.2,188212,76.9,1,High
FL_002767,51,Female,Other,7.4,14,86.9,1,1,1,AI & Machine Learning,228.1,29,81.5,0.307,10.2,85418,79.9,0,High
FL_002768,44,Female,Other,1,14,53.2,1,0,0,Digital Marketing,280,20,82.3,,,62228,75.7,0,High
FL_002769,35,Female,Other,3.7,8,72.2,1,0,1,Data Science & Analytics,224.13,34,93.5,0.258,16.4,98541,92.6,0,High
FL_002770,31,Male,United Kingdom,3,12,65.3,1,0,0,Digital Marketing,159.54,28,100,0.341,21.1,90019,83.7,0,High
FL_002771,38,Male,Germany,5.2,5,59.9,1,0,0,Graphic Design,,30,95.5,,27.2,245000,84.8,0,High
FL_002772,43,Male,United States,4.5,6,96.5,1,0,0,AI & Machine Learning,222.04,23,,0.133,13.5,67407,79.8,0,High
FL_002773,32,Male,United States,6.4,6,85.1,1,1,0,Content Writing / Copywriting,280,30,93.5,0.256,22.2,171874,92.6,0,High
FL_002774,26,Female,Other,1.4,14,40,1,0,0,Data Science & Analytics,280,29,81.7,0.378,12.8,167935,83.6,0,High
FL_002775,40,Female,United States,0.9,12,78.8,1,0,0,Web Development,100.68,26,73.2,0.308,25.4,55480,63.1,0,High
FL_002776,43,Male,Other,6.2,6,68.4,1,0,0,Video Editing,280,39,97.6,0.268,7.7,245000,90.3,0,High
FL_002777,50,Male,Nigeria,1.7,13,93.8,1,0,0,AI & Machine Learning,280,32,88.2,0.43,5.4,245000,96.9,0,High
FL_002778,33,Male,United Kingdom,1.3,8,68.4,1,1,0,Video Editing,280,32,79.4,0.204,21.8,112018,72.7,1,High
FL_002779,40,Female,United States,1.6,9,84.1,1,0,1,Content Writing / Copywriting,129.82,33,69.8,0.491,11.3,42160,75.4,0,High
FL_002780,36,Female,Ukraine,0.3,9,83.9,1,0,0,Data Science & Analytics,204.62,24,90.4,0.335,7.5,76863,74.7,0,High
FL_002781,38,Female,Pakistan,5.6,9,65.9,0,0,1,Graphic Design,280,38,78.4,0.29,11.9,86354,88.2,1,High
FL_002782,30,Male,Ukraine,4.8,4,62.9,1,0,1,SEO / SEM,280,28,84.3,0.26,11.2,41416,64.1,0,High
FL_002783,48,Male,United Kingdom,3.1,9,100,0,0,0,AI & Machine Learning,195.16,21,95.4,0.634,24.5,190568,99,0,High
FL_002784,43,Female,United States,4.8,4,85.3,1,1,0,Data Science & Analytics,280,22,80.2,0.535,8.6,53291,95.5,0,High
FL_002785,28,Female,India,1.8,9,79.8,0,0,1,Web Development,280,23,85.1,0.35,,219390,73.7,0,High
FL_002786,38,Male,India,1.3,13,98.4,1,1,0,Video Editing,280,29,71.1,0.176,14.9,179467,84.9,0,High
FL_002787,41,Female,United States,7.5,9,100,1,1,0,Digital Marketing,249.42,33,82.6,0.465,11.1,134985,98.3,0,High
FL_002788,21,Male,United States,2.1,6,100,0,0,0,Web Development,280,22,73.4,0.342,6.1,124196,77.8,0,High
FL_002789,43,Female,India,0.8,6,57,1,0,0,Digital Marketing,184.99,34,92.4,0.287,15.9,84778,73.7,0,High
FL_002790,28,Female,Ukraine,5.3,9,79.5,1,0,1,Data Science & Analytics,280,37,77.9,0.357,6.7,93140,78,0,High
FL_002791,49,Female,Pakistan,1.6,5,74.6,0,0,0,AI & Machine Learning,82.03,29,87.7,0.208,6.2,5741,58.5,0,Low
FL_002792,26,Male,India,0.9,15,100,1,1,1,Web Development,280,26,78.7,0.466,18.5,245000,83.8,0,High
FL_002793,25,Male,Pakistan,0.1,8,90.4,0,0,1,Mobile App Development,280,24,76.2,0.356,4.5,189179,74.5,0,High
FL_002794,35,Female,Nigeria,13.4,13,58.3,0,0,1,Mobile App Development,280,62,75.4,0.268,13.7,245000,91.2,0,High
FL_002795,42,Female,Philippines,2.4,6,49.5,1,0,1,Content Writing / Copywriting,280,25,77.4,0.195,,74936,74.9,0,High
FL_002796,35,Male,Philippines,0.7,8,100,1,1,0,Mobile App Development,280,30,,,15.6,245000,73.8,0,High
FL_002797,22,Female,India,5.4,6,78.8,1,0,0,Accounting & Finance,88.16,33,98.3,0.177,8.2,142351,93.4,0,High
FL_002798,21,Male,United States,8.3,5,78.4,0,1,1,Mobile App Development,255.52,40,85.3,0.293,7.1,86912,91,0,High
FL_002799,43,Female,India,2.9,7,73.5,1,0,1,Virtual Assistant,280,25,82.4,0.362,18.9,89711,87.5,0,High
FL_002800,43,Female,India,0.1,8,65.7,0,0,0,AI & Machine Learning,280,22,90.1,0.482,15.6,51949,86.1,0,High
FL_002801,46,Male,Pakistan,1.7,9,79.6,1,1,1,SEO / SEM,163.65,30,93.6,0.42,10.2,28271,86.7,0,Medium
FL_002802,31,Male,Other,1.1,5,91.9,1,0,0,Content Writing / Copywriting,,28,96.8,0.298,22.1,245000,88.3,0,High
FL_002803,30,Male,India,3.8,6,78.6,1,0,0,Graphic Design,121.65,27,100,0.386,12,108686,88.6,0,High
FL_002804,50,Male,Ukraine,2.8,6,95.8,1,0,1,Video Editing,280,30,87.6,0.331,,117535,85.5,0,High
FL_002805,38,Male,Germany,1.7,9,90,1,0,0,Virtual Assistant,280,35,87,0.35,8.7,103779,99,0,High
FL_002806,38,Female,India,4,4,93.4,1,0,1,SEO / SEM,246.47,25,65,0.347,8.5,53325,70.6,0,High
FL_002807,37,Female,Other,3.3,10,81.9,1,0,0,Mobile App Development,280,29,100,0.462,11,219706,99,0,High
FL_002808,46,Male,United States,9,11,76.4,0,0,1,Digital Marketing,280,41,85.6,0.297,19.4,210692,91.2,0,High
FL_002809,28,Male,Other,3.5,10,60.6,1,1,0,Data Science & Analytics,280,29,,,14.7,240382,90.8,0,High
FL_002810,35,Male,United States,2.7,7,94.8,0,0,1,Data Science & Analytics,280,30,88.9,0.251,,243176,89.6,0,High
FL_002811,28,Male,India,6.6,10,83.1,0,1,0,Graphic Design,266.29,37,80.4,0.127,11.8,156510,90.2,0,High
FL_002812,37,Male,Pakistan,0.9,4,74.9,0,0,0,Digital Marketing,280,31,100,0.446,8.4,153386,83.8,0,High
FL_002813,32,Female,Other,1.1,11,60.8,1,0,1,Video Editing,165,18,78.6,0.442,13.2,31412,79.2,0,Medium
FL_002814,47,Female,India,5.8,13,99.3,1,1,0,AI & Machine Learning,280,41,84.4,0.345,15.3,196620,95.7,0,High
FL_002815,28,Male,Brazil,2.2,13,78.8,0,0,1,Digital Marketing,280,35,69.7,,6.4,65749,69.4,0,High
FL_002816,45,Female,Ukraine,2,6,100,1,0,0,Accounting & Finance,177.41,29,79.8,0.343,19.8,76724,84.3,0,High
FL_002817,34,Female,United States,8.3,12,45.9,1,0,1,Web Development,280,33,66.4,0.299,,144592,79.6,0,High
FL_002818,24,Male,Philippines,3.6,4,84,1,0,1,AI & Machine Learning,280,39,69.8,0.267,19.7,222530,67,1,High
FL_002819,21,Female,Philippines,6.2,9,57.3,1,1,0,Web Development,280,34,,0.404,9.1,245000,87.2,0,High
FL_002820,21,Female,India,6.3,4,67.3,1,0,1,Web Development,280,35,95.4,0.209,11.3,245000,99,0,High
FL_002821,39,Female,Germany,0.5,11,74.6,1,1,0,Web Development,280,25,72.7,0.357,12.4,131725,82.6,0,High
FL_002822,51,Male,Other,4,6,89,1,1,0,AI & Machine Learning,280,32,86.2,0.271,5.5,98317,79.9,0,High
FL_002823,36,Female,Ukraine,11.6,7,83.4,1,1,0,Video Editing,280,42,83.3,0.414,12,245000,99,0,High
FL_002824,34,Female,Other,2.5,15,70.2,1,1,0,Mobile App Development,247.1,26,66.8,0.422,12.5,79691,44.6,1,High
FL_002825,41,Male,United States,5,9,68.3,0,0,1,AI & Machine Learning,280,32,95.9,0.454,18.4,245000,94.9,0,High
FL_002826,36,Male,United States,3.2,7,51.6,0,1,0,Video Editing,280,33,100,0.378,8.3,85497,81.8,0,High
FL_002827,25,Male,Other,0.9,11,69.2,0,0,0,Web Development,280,21,87.8,0.44,13.5,115955,88.1,0,High
FL_002828,29,Female,Other,0.8,12,67.1,0,0,1,Mobile App Development,280,21,79.2,,11.1,115381,77.3,0,High
FL_002829,46,Male,United States,2.2,8,98.1,1,1,1,Content Writing / Copywriting,280,32,56.7,0.46,,108133,72.3,0,High
FL_002830,50,Female,India,2.5,4,72.6,1,0,1,Content Writing / Copywriting,193.97,22,85.1,0.232,19.8,105733,72.8,0,High
FL_002831,48,Male,Canada,2.7,11,72.8,1,0,0,AI & Machine Learning,280,24,98.4,0.24,14.7,65668,82.8,0,High
FL_002832,22,Male,United States,11.8,5,82.4,1,0,0,Web Development,,51,74.8,0.36,12.5,245000,99,0,High
FL_002833,38,Male,India,0.4,9,100,1,1,0,Data Science & Analytics,280,26,,0.326,,245000,78.6,0,High
FL_002834,26,Male,Nigeria,1.8,9,100,0,0,1,Content Writing / Copywriting,126.7,29,84.9,,12.4,52030,95.7,0,High
FL_002835,51,Male,Other,2.7,14,100,1,0,0,Content Writing / Copywriting,280,29,97.4,0.465,10.5,69706,86,0,High
FL_002836,29,Male,Germany,12.5,10,56.6,1,0,0,Data Science & Analytics,216.25,40,91.6,0.116,5.9,146901,99,0,High
FL_002837,21,Male,Germany,2.7,15,81.6,1,1,0,AI & Machine Learning,161.74,27,76.9,0.25,16.2,26845,66.3,0,Medium
FL_002838,29,Male,India,5.7,12,77.3,1,1,0,Content Writing / Copywriting,280,37,87.6,,22.2,88394,91.1,0,High
FL_002839,45,Male,Nigeria,5.3,4,49.8,1,0,0,Accounting & Finance,280,31,100,0.175,4.9,101666,94.4,0,High
FL_002840,36,Female,United States,3.2,13,60.3,1,0,0,Content Writing / Copywriting,280,22,89.8,0.272,17.2,15837,70.2,0,Medium
FL_002841,33,Female,Other,0.5,15,93.6,0,1,1,Mobile App Development,280,19,82.8,0.372,12.6,18827,77.9,1,Medium
FL_002842,29,Female,Philippines,0.9,11,87.4,1,1,1,Accounting & Finance,280,26,91.4,0.386,21.7,245000,95.3,0,High
FL_002843,41,Other,Nigeria,1,14,87.3,1,0,1,Graphic Design,280,43,72.4,0.222,16.8,111210,66,0,High
FL_002844,33,Male,Other,0.1,8,86.2,1,0,1,Web Development,280,24,81.6,0.42,8,161434,89,0,High
FL_002845,51,Male,United States,1.8,9,52,0,0,0,AI & Machine Learning,280,26,88.8,,9.2,74884,77.6,0,High
FL_002846,29,Male,Other,3.6,11,61.4,0,0,1,Content Writing / Copywriting,280,29,80.2,0.205,,113631,71.9,0,High
FL_002847,31,Male,India,0.6,11,70.4,0,0,0,Video Editing,280,18,87.3,0.397,20.3,49171,75.9,0,High
FL_002848,24,Female,India,0.7,15,92.3,1,0,0,Digital Marketing,280,22,89,,,79304,71.5,0,High
FL_002849,22,Male,United States,4.7,14,81.1,1,0,1,Web Development,197,32,88.5,0.34,11.8,50487,78.5,0,High
FL_002850,49,Male,Other,0.7,10,93.5,1,0,0,Web Development,280,26,93.2,,17.5,136869,91.3,0,High
FL_002851,26,Male,Other,0.6,10,100,1,0,0,AI & Machine Learning,,17,88.6,0.336,5.9,11493,70.4,1,Low
FL_002852,34,Other,United States,14.5,15,53.6,1,0,0,Web Development,280,54,96.3,0.311,11.7,245000,99,0,High
FL_002853,24,Female,United States,0.1,15,77.1,1,0,0,Data Science & Analytics,182.06,31,75.7,0.353,11.9,64415,81.3,0,High
FL_002854,26,Male,Other,1.5,4,77.2,0,0,0,Content Writing / Copywriting,205.89,21,92.8,0.427,7.2,35367,82.8,0,Medium
FL_002855,39,Male,United States,0.1,11,65.7,1,0,1,Data Science & Analytics,280,23,85.5,0.329,23.2,245000,77.9,0,High
FL_002856,26,Female,Pakistan,6.9,6,86,0,1,1,Video Editing,244.87,38,92.1,0.433,8.2,65741,99,0,High
FL_002857,22,Other,Pakistan,3.3,8,100,0,0,1,Graphic Design,271.92,26,95.7,0.442,6.2,79545,97.8,0,High
FL_002858,38,Male,Other,0.2,7,63.8,0,0,1,Mobile App Development,92.44,19,73.9,0.355,17.4,18669,71.6,1,Medium
FL_002859,33,Male,Pakistan,3.6,13,88.6,0,0,1,Mobile App Development,280,31,95.2,0.493,13.4,245000,84.4,0,High
FL_002860,29,Female,United Kingdom,0.5,6,62.3,1,0,0,AI & Machine Learning,280,26,86,,32.2,225316,79.9,0,High
FL_002861,43,Female,Other,2.6,13,50.1,1,1,1,Digital Marketing,280,26,81.4,,26.1,37005,79,1,Medium
FL_002862,39,Male,India,4.2,8,69.2,1,0,0,Graphic Design,280,36,75.8,0.339,15.5,245000,91.3,0,High
FL_002863,33,Female,India,0.6,6,83.4,1,0,0,Mobile App Development,280,27,71.9,0.359,28,178091,74.2,0,High
FL_002864,31,Female,United States,2.6,12,85.4,1,0,1,Web Development,114.37,29,,0.408,9.7,39795,79,0,High
FL_002865,21,Female,Other,2.3,14,100,0,0,1,Web Development,280,26,83.8,0.377,8.1,245000,99,0,High
FL_002866,44,Female,Ukraine,9.4,12,83.5,1,0,0,Web Development,280,41,95.5,0.302,10.2,245000,99,0,High
FL_002867,50,Female,United States,20,9,79.2,1,0,0,Content Writing / Copywriting,280,70,88.3,0.197,21.5,245000,99,0,High
FL_002868,42,Male,Ukraine,4,6,92.3,0,1,1,Web Development,133.86,34,80.5,0.185,15.8,56253,75.1,0,High
FL_002869,27,Female,United Kingdom,7.3,8,83,1,0,1,Graphic Design,280,30,95.9,0.26,18.6,241840,91.2,1,High
FL_002870,45,Male,Other,4,14,78.6,0,0,1,Graphic Design,280,36,94.2,0.315,13.7,245000,86.7,0,High
FL_002871,41,Female,India,7.9,11,76.1,1,0,0,SEO / SEM,61.62,26,97.6,0.532,9.3,16533,83.6,0,Medium
FL_002872,35,Male,Ukraine,2.2,12,89.2,1,0,1,Graphic Design,122.92,27,,0.427,,19033,68.3,1,Medium
FL_002873,21,Female,Nigeria,3.6,6,87.5,0,1,0,Content Writing / Copywriting,129.32,38,75.2,0.201,7.6,45762,92.2,0,High
FL_002874,32,Male,United States,7.1,8,74.8,1,0,1,Web Development,280,37,,0.154,21,74771,90,0,High
FL_002875,46,Male,Other,9.5,5,100,1,1,0,Video Editing,,45,90,0.486,11.9,245000,99,0,High
FL_002876,27,Male,United States,0.1,5,92.5,1,0,0,AI & Machine Learning,280,20,81,0.255,13.3,52196,81.1,0,High
